id,conversation_context,customer_message,gold_intent,gold_escalation,gold_reason,notes,review_status
gold_001,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Where is my package? It was supposed to arrive today by 8 PM but tracking still says in transit.,delivery_delay_and_tracking,AUTO_HANDLE,Standard in-transit inquiry within expected buffer.,Routine tracking inquiry; low risk.,PROPOSED
gold_002,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Order #112-9018273 has had no tracking update for 6 days since departing the regional facility.,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Carrier stall exceeding 48h SLA; requires human carrier trace.,Lost in transit candidate.,PROPOSED
gold_003,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Does Amazon deliver on Thanksgiving Day? My order says arriving Thursday.,delivery_delay_and_tracking,AUTO_HANDLE,Holiday delivery schedule inquiry.,Informational policy.,PROPOSED
gold_004,Customer contacted @AmazonHelp regarding delivery delay and tracking.,"@AmazonHelp Courier marked delivery attempted at 2 PM, but I work from home and my ring buzzer never rang.",delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Failed attempt dispute requiring driver dispatch investigation.,Driver access issue.,PROPOSED
gold_005,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Can I change the delivery address for order #114-8839201? It was just placed 5 minutes ago.,delivery_delay_and_tracking,AUTO_HANDLE,Address change window within initial order placement.,Self-service order modification.,PROPOSED
gold_006,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp URGENT: My child needs the nebulizer medication shipped in order #111-2299182. Tracking has not updated.,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Critical medical supply shipment delay.,High safety priority escalation.,PROPOSED
gold_007,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Why does my tracking show carrier delay due to severe winter storm in Chicago?,delivery_delay_and_tracking,AUTO_HANDLE,Weather-related carrier delay explanation.,Standard force majeure buffer.,PROPOSED
gold_008,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp The tracking link sent via SMS is broken and shows a 404 error page.,delivery_delay_and_tracking,AUTO_HANDLE,Technical link inquiry; provide direct Your Orders link.,Informational.,PROPOSED
gold_009,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Driver delivered package to the leasing office without my authorization instead of my door.,delivery_delay_and_tracking,AUTO_HANDLE,Delivery location instruction clarification.,Routine preference feedback.,PROPOSED
gold_010,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Guaranteed delivery date was 3 days ago. I paid 2.99 for One-Day shipping.,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Paid expedited delivery SLA failure requiring shipping fee refund.,Financial shipping refund.,PROPOSED
gold_011,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Tracking number 93612897230 isn't showing up on UPS website.,delivery_delay_and_tracking,AUTO_HANDLE,Third-party carrier initial scan delay (takes up to 24h).,Standard scan delay.,PROPOSED
gold_012,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Is there a way to request deliveries only between 9 AM and 5 PM for my business address?,delivery_delay_and_tracking,AUTO_HANDLE,Business delivery preference settings guidance.,Self-service account setting.,PROPOSED
gold_013,Customer contacted @AmazonHelp regarding delivery delay and tracking.,"@AmazonHelp Driver claims gate code 1234 did not work, but that is the active gate code.",delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Repeated gate failure risking package return to warehouse.,Courier access dispatch.,PROPOSED
gold_014,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Can I pick up my package directly from the local Amazon carrier facility in Queens?,delivery_delay_and_tracking,AUTO_HANDLE,Carrier facility pickup policy explanation.,Policy inquiry.,PROPOSED
gold_015,Customer contacted @AmazonHelp regarding delivery delay and tracking.,"@AmazonHelp Tracking shows out for delivery since 7 AM, it is now 9:30 PM. Will it still come tonight?",delivery_delay_and_tracking,AUTO_HANDLE,Late evening delivery window clarification.,Routine tracking.,PROPOSED
gold_016,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Order #113-9821730 was cancelled by Amazon due to shipping damage in transit. Where is my replacement?,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Automatic transit cancellation requiring re-order / human replacement check.,Carrier transit cancellation.,PROPOSED
gold_017,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp How do I track an Amazon Locker delivery PIN code?,delivery_delay_and_tracking,AUTO_HANDLE,Amazon Locker collection code instructions.,Self-service Locker workflow.,PROPOSED
gold_018,Customer contacted @AmazonHelp regarding delivery delay and tracking.,"@AmazonHelp I received delivery notification for package 2 of 3, but where are the other 2 items?",delivery_delay_and_tracking,AUTO_HANDLE,Multi-package split shipment explanation.,Split shipment education.,PROPOSED
gold_019,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Driver threw the box over my 8ft locked gate and landed on my flowerbed.,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Driver misconduct and potential property impact.,Driver complaint escalation.,PROPOSED
gold_020,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Can I track the delivery truck in real time on the map?,delivery_delay_and_tracking,AUTO_HANDLE,Map tracking feature availability explanation.,App feature guidance.,PROPOSED
gold_021,Customer contacted @AmazonHelp regarding delivery delay and tracking.,"@AmazonHelp Tracking says delivered to mailroom, but our building does not have a mailroom.",delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Misdelivery / incorrect scan requiring human carrier review.,Potential misdelivery.,PROPOSED
gold_022,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Package was routed to the wrong state! Shipped to Florida instead of California.,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Severe sorting misdirection requiring rerouting or replacement.,Carrier misroute.,PROPOSED
gold_023,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp What does 'Available for pickup at carrier facility' mean?,delivery_delay_and_tracking,AUTO_HANDLE,Carrier hold pickup explanation.,Standard terminology.,PROPOSED
gold_024,Customer contacted @AmazonHelp regarding delivery delay and tracking.,@AmazonHelp Amazon Day delivery was scheduled for Wednesday but it arrived on Tuesday when I was out of town.,delivery_delay_and_tracking,AUTO_HANDLE,Amazon Day delivery feedback and instructions.,Customer schedule conflict.,PROPOSED
gold_025,Customer contacted @AmazonHelp regarding delivery delay and tracking.,"@AmazonHelp Driver marked customer refused delivery, but I never spoke to any driver!",delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Disputed false delivery refusal scan.,Driver investigation.,PROPOSED
gold_026,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp Delivered notification arrived 5 mins ago, but porch is completely empty.",missing_or_stolen_package,AUTO_HANDLE,Recent scan (<1h); instruct customer on driver premature scan buffer.,Premature carrier scan.,PROPOSED
gold_027,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Delivery photo clearly shows a white door and green mat. My building has black doors and concrete.,missing_or_stolen_package,ESCALATE_TO_HUMAN,Photographic evidence of wrong delivery location.,Confirmed wrong address delivery.,PROPOSED
gold_028,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Package has been marked delivered for 48 hours. Searched entire neighborhood. Missing.,missing_or_stolen_package,ESCALATE_TO_HUMAN,Missing package confirmed after 36h+ search window.,Full lost package claim.,PROPOSED
gold_029,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Porch pirate stole package. Ring doorbell footage recorded suspect at 3:15 PM.,missing_or_stolen_package,ESCALATE_TO_HUMAN,Theft incident requiring police report acknowledgement and replacement.,Criminal theft.,PROPOSED
gold_030,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp Tracking says handed directly to resident, but everyone in my house was at work.",missing_or_stolen_package,ESCALATE_TO_HUMAN,False handoff scan; package unaccounted for.,False delivery scan.,PROPOSED
gold_031,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Where do drivers usually leave packages if the front porch is wet from rain?,missing_or_stolen_package,AUTO_HANDLE,Safe spot locations check guidance.,Informational.,PROPOSED
gold_032,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Amazon locker says locker empty when I entered my pickup code!,missing_or_stolen_package,ESCALATE_TO_HUMAN,Locker hardware / fulfillment failure.,Locker error.,PROPOSED
gold_033,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp Package marked delivered inside mailbox, but mailbox key was missing.",missing_or_stolen_package,AUTO_HANDLE,Mailbox delivery carrier jurisdiction explanation.,Routine guidance.,PROPOSED
gold_034,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp Neighbor brought over an opened package that was addressed to me, but contents were missing.",missing_or_stolen_package,ESCALATE_TO_HUMAN,Tampered / looted delivery requiring investigation.,Package tampering.,PROPOSED
gold_035,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Delivery photo is pitch black and cannot see where package was left.,missing_or_stolen_package,AUTO_HANDLE,Unclear photo; advise checking standard perimeter spots.,Buffer check.,PROPOSED
gold_036,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp Package marked delivered to rear porch, but my property has no rear access.",missing_or_stolen_package,ESCALATE_TO_HUMAN,Physical impossibility in delivery location scan.,Courier misdelivery.,PROPOSED
gold_037,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Order #114-9988210 was high value jewelry (00) marked delivered with no signature collected.,missing_or_stolen_package,ESCALATE_TO_HUMAN,High-value signature-required shipment missing.,High financial risk.,PROPOSED
gold_038,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Driver marked delivered at 11 PM while building was locked.,missing_or_stolen_package,ESCALATE_TO_HUMAN,After-hours locked building delivery scan dispute.,Building lock out.,PROPOSED
gold_039,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Can I report a package stolen online without calling customer service?,missing_or_stolen_package,AUTO_HANDLE,Self-service missing package portal guidance.,Self-service flow.,PROPOSED
gold_040,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Package left in lobby was taken by another resident per CCTV.,missing_or_stolen_package,ESCALATE_TO_HUMAN,Building theft requiring replacement assistance.,Third-party theft.,PROPOSED
gold_041,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp Tracking says delivered to receptionist Jane, but our company has no employee named Jane.",missing_or_stolen_package,ESCALATE_TO_HUMAN,Unknown receiver name on corporate delivery.,Corporate misdelivery.,PROPOSED
gold_042,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp What should I do if a missing package shows up after I already reported it?,missing_or_stolen_package,AUTO_HANDLE,Guidance on found package procedure.,Policy inquiry.,PROPOSED
gold_043,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Driver left package on public sidewalk next to busy road and it was gone in 10 mins.,missing_or_stolen_package,ESCALATE_TO_HUMAN,Negligent drop-off location resulting in loss.,Driver negligence.,PROPOSED
gold_044,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Package marked delivered yesterday but postal carrier says they still have it at post office.,missing_or_stolen_package,AUTO_HANDLE,USPS hold notice clarification.,Carrier coordination.,PROPOSED
gold_045,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Is a signature required for all electronics deliveries over 00?,missing_or_stolen_package,AUTO_HANDLE,Signature confirmation policy inquiry.,Informational policy.,PROPOSED
gold_046,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp Package marked delivered 3 days ago, leasing office confirmed it never arrived.",missing_or_stolen_package,ESCALATE_TO_HUMAN,Confirmed lost shipment beyond standard window.,Lost claim.,PROPOSED
gold_047,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp App says delivered to garage via Amazon Key, but garage door never opened.",missing_or_stolen_package,ESCALATE_TO_HUMAN,Amazon Key smart home delivery malfunction.,Smart delivery error.,PROPOSED
gold_048,Customer contacted @AmazonHelp regarding missing or stolen package.,"@AmazonHelp Driver says package delivered to dog house in backyard, but dog chewed the box.",missing_or_stolen_package,ESCALATE_TO_HUMAN,Improper drop location causing damage/loss.,Driver error.,PROPOSED
gold_049,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp How long do I have to wait before Amazon will replace a lost package?,missing_or_stolen_package,AUTO_HANDLE,Explanation of 24-36 hour lost parcel policy.,Policy clarification.,PROPOSED
gold_050,Customer contacted @AmazonHelp regarding missing or stolen package.,@AmazonHelp Missing parcel had custom engraved anniversary gift that cannot be reordered in time.,missing_or_stolen_package,ESCALATE_TO_HUMAN,High emotional impact customized item lost.,Escalated care.,PROPOSED
gold_051,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp How many days do I have to return an item bought during the holiday season?,return_and_refund_status,AUTO_HANDLE,Holiday return policy window explanation.,General return policy.,PROPOSED
gold_052,Customer contacted @AmazonHelp regarding return and refund status.,"@AmazonHelp I returned an iPad on Nov 2nd, return tracking delivered Nov 5th, still no refund on Nov 24th.",return_and_refund_status,ESCALATE_TO_HUMAN,Refund delayed beyond standard SLA (>14 days) on high-value item.,Financial delay.,PROPOSED
gold_053,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Do I need the original cardboard shipping box to make a return at Kohl's?,return_and_refund_status,AUTO_HANDLE,Kohl's box-free return process guidance.,Return process.,PROPOSED
gold_054,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp UPS tracking says return package was lost in transit back to Amazon warehouse.,return_and_refund_status,ESCALATE_TO_HUMAN,Lost return parcel requiring manual refund release.,Carrier loss on return.,PROPOSED
gold_055,Customer contacted @AmazonHelp regarding return and refund status.,@AmazonHelp Can I exchange an item for a different color directly through the return center?,return_and_refund_status,AUTO_HANDLE,Online exchange eligibility guidance.,Self-service return.,PROPOSED
