sample_id,customer_message,retrieved_evidence_summary,generated_response,human_relevance_1_to_5,human_groundedness_1_to_5,human_correctness_1_to_5,human_helpfulness_1_to_5,human_unsupported_claims_1_to_5,human_verdict,human_notes
sample_001,@AmazonHelp Where is my package? It was supposed to arrive today by 8 PM but tracking still says in transit.,Standard delivery tracking buffer and link (amzn.to/track),"We're sorry to hear your delivery is running late! Please check the latest tracking updates at https://amzn.to/track. If your package doesn't arrive by tomorrow evening, please DM us with your order ID.",,,,,,,
sample_002,@AmazonHelp Order #112-9018273 has had no tracking update for 6 days since departing the regional facility.,Escalation DM for stalled shipments over 48 hours,"We understand your concern regarding the lack of tracking movement over the past 6 days. Please send us a direct message with your order number and email address so our team can trace this shipment with the carrier.",,,,,,,
sample_003,@AmazonHelp URGENT: My child needs the nebulizer medication shipped in order #111-2299182. Tracking has not updated.,Urgent carrier dispatch coordination,"We sincerely apologize for this critical delay. Because this involves urgent medical supplies, please DM us immediately with your order details so our priority dispatch team can contact the local fulfillment hub directly.",,,,,,,
sample_004,"@AmazonHelp Delivered notification arrived 5 mins ago, but porch is completely empty.",Recent scan buffer check (amzn.to/find-missing),"Carriers occasionally scan packages slightly before placing them at your door. Please allow until the end of the day, and check with household members or side doors. If it still hasn't arrived tomorrow, let us know!",,,,,,,
sample_005,@AmazonHelp Delivery photo clearly shows a white door and green mat. My building has black doors and concrete.,Misdelivery photo review and replacement DM,"We apologize for this misdelivery! Please send us a DM with your order number and confirming address so we can review the courier photo and process an immediate replacement for you.",,,,,,,
sample_006,@AmazonHelp How many days do I have to return an item bought during the holiday season?,Holiday return policy window explanation,"Items shipped between October 11 and December 25 can be returned until January 31 of the following year under our extended holiday return policy.",,,,,,,
sample_007,"@AmazonHelp I returned an iPad on Nov 2nd, return tracking delivered Nov 5th, still no refund on Nov 24th.",Delayed refund manual release DM,"We apologize for the delay. Since 19 days have passed since the warehouse delivery scan, please send us a DM with your order ID so our billing team can manually release your refund.",,,,,,,
sample_008,"@AmazonHelp Glass bottle of olive oil broke inside box, soaked everything.",Damaged item replacement portal guidance,"We're so sorry your order arrived damaged! You do not need to return broken glass or liquid. Please visit Your Orders and select 'Return or replace items' to request an immediate free replacement.",,,,,,,
sample_009,"@AmazonHelp Ordered 128GB iPhone 15 Pro, box contained a brick wrapped in bubble wrap!",High-value theft/tampering escalation,"We take delivery tampering very seriously. Please DM us your order number immediately so our security team can initiate an expedited investigation and replacement.",,,,,,,
sample_010,@AmazonHelp How do I cancel my Amazon Prime free trial before it charges my credit card?,Prime trial cancellation portal (amzn.to/manage-prime),"You can cancel your Prime free trial anytime by visiting 'Manage Your Prime Membership' at https://amzn.to/manage-prime and selecting 'End Membership'. You will retain benefits until the trial expires.",,,,,,,
sample_011,@AmazonHelp Prime Video gives error 5004 on my Samsung Smart TV.,Streaming error 5004 cache/reboot steps,"Error code 5004 usually relates to app cache or network connectivity. Please restart your Samsung TV, power cycle your router, or clear the Prime Video app cache.",,,,,,,
sample_012,"@AmazonHelp URGENT: Hacker accessed my account, changed email and ordered 4 iPhones to Miami!",24/7 Account security hotline and emergency lockdown,"CRITICAL: If you suspect unauthorized access, please call our 24/7 Account Security Hotline immediately at 1-888-280-4331 or visit https://amzn.to/account-security. We have flagged this for immediate account protection.",,,,,,,
sample_013,@AmazonHelp Does Amazon ship to APO/FPO military addresses overseas?,APO/FPO military USPS shipping policy,"Yes! Amazon ships many eligible items to APO/FPO military addresses via USPS. Certain oversized items or standalone lithium batteries may have shipping restrictions.",,,,,,,
sample_014,@AmazonHelp Can I combine two Amazon gift cards on a single order?,Gift card balance stacking policy,"Yes! You can redeem multiple gift card claim codes into your Amazon account balance. Your total balance will automatically apply at checkout.",,,,,,,
sample_015,@AmazonHelp Why was my credit card charged $139 annual fee twice on the same day for Prime?,Duplicate billing error resolution DM,"We apologize for the double billing error! Please send us a direct message with your account email address so our billing department can verify the duplicate charge and issue an immediate reversal.",,,,,,,
