id,brand,conversation_id,customer_message,conversation_context,historical_response,intent,gold_escalation,gold_reason
conv_amzn_00000,AmazonHelp,conv_amzn_00000,"@AmazonHelp The Amazon app sent a notification saying my Keurig Coffee Maker was delivered to my front porch 15 minutes ago, but the porch is empty!",Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Carriers sometimes scan packages just prior to walking up to the door. Please allow until the end of the day, and check with household members or side porches: https://amzn.to/find-missing. If still not found tomorrow, reach back out! ^MK",missing_or_stolen_package,AUTO_HANDLE,Scan occurred within past hour; standard buffer and safe spot search recommended.
conv_amzn_00001,AmazonHelp,conv_amzn_00001,@AmazonHelp How do I share my Prime shipping benefits with my spouse without sharing my payment cards?,Customer reaching out to @AmazonHelp regarding prime membership and billing.,You can share Prime shipping benefits via Amazon Household! Both adults maintain separate accounts and payment methods. Set it up here: https://amzn.to/amazon-household ^TB,prime_membership_and_billing,AUTO_HANDLE,Educational guidance on Amazon Household feature.
conv_amzn_00002,AmazonHelp,conv_amzn_00002,"@AmazonHelp The Dyson V8 Vacuum I received has a ripped retail seal and looks like it was already used by someone else, but I paid for brand new!",Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,"We apologize for this experience. We take new item guarantees seriously. Please go to Your Orders to request an exchange for an unopened replacement, or DM us if you need assistance: https://amzn.to/your-orders ^MK",damaged_or_incorrect_item,AUTO_HANDLE,Used-sold-as-new complaint; customer guided to instant exchange flow.
conv_amzn_00003,AmazonHelp,conv_amzn_00003,@AmazonHelp It has been 36 hours since my package #113-8007695-9187754 was marked delivered. I checked with neighbors and my building management. It is not here.,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"Thank you for thoroughly checking around your property. Since 36 hours have passed, please DM us your order ID so our team can file a missing package claim and issue a replacement or refund: https://amzn.to/dm ^AB",missing_or_stolen_package,ESCALATE_TO_HUMAN,Waiting window expired and parcel missing; requires human claims specialist.
conv_amzn_00004,AmazonHelp,conv_amzn_00004,@AmazonHelp Delivery photo shows a completely different apartment number (403) and a red doormat. I live in unit 662 and don't have a red mat!,Customer reaching out to @AmazonHelp regarding missing or stolen package.,"We apologize for the misdelivery! Please send us a direct message with your order number so we can review the courier photo, verify your unit, and process an immediate replacement: https://amzn.to/dm ^TB",missing_or_stolen_package,ESCALATE_TO_HUMAN,Photographic proof of misdelivery to wrong unit; requires replacement authorization.
conv_amzn_00005,AmazonHelp,conv_amzn_00005,@AmazonHelp ALERT: I got an email saying my Amazon account email was changed to an unknown outlook address and an order for a $500 gift card was placed! HELP!,Customer reaching out to @AmazonHelp regarding account access and security.,"CRITICAL: If you suspect unauthorized access, please call our 24/7 Account Security Team immediately at 1-888-280-4331 or visit https://amzn.to/account-security. Please do not post account details publicly ^KL",account_access_and_security,ESCALATE_TO_HUMAN,CRITICAL ACCOUNT SECURITY: Account takeover and unauthorized orders; mandatory human security team escalation.
conv_amzn_00006,AmazonHelp,conv_amzn_00006,"@AmazonHelp Tracking says 'In Transit' since Saturday, but there have been no new updates for 4 days. Is my order #113-3212771-9972264 lost?",Customer reaching out to @AmazonHelp regarding delivery delay and tracking.,We understand your concern regarding the lack of tracking movement. Please send us a direct message with your order number and email address so we can initiate an investigation with the carrier: https://amzn.to/dm ^DL,delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Carrier stall exceeding 48h SLA; requires human carrier tracing.
conv_amzn_00007,AmazonHelp,conv_amzn_00007,@AmazonHelp Liquid soap bottle leaked inside the box and ruined the electronics (LEGO Star Wars Set) that were shipped together in the same box!,Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,We're so sorry for this shipping error! Please send us a direct message with photos of the damaged package and your order ID so we can issue a full replacement for all affected items: https://amzn.to/dm ^DL,damaged_or_incorrect_item,ESCALATE_TO_HUMAN,Cross-item hazardous spill damaging electronics; human damage assessment required.
conv_amzn_00008,AmazonHelp,conv_amzn_00008,@AmazonHelp Order #114-5465654-7108543 contains urgent medical supplies for my family that was guaranteed yesterday. Where is the courier right now?,Customer reaching out to @AmazonHelp regarding delivery delay and tracking.,"We sincerely apologize for this critical delay. Given the urgency of these supplies, please DM us immediately so a priority dispatcher can coordinate with the local logistics hub: https://amzn.to/dm ^AB",delivery_delay_and_tracking,ESCALATE_TO_HUMAN,Time-critical urgent medical delivery requiring priority dispatcher intervention.
conv_amzn_00009,AmazonHelp,conv_amzn_00009,"@AmazonHelp The Keurig Coffee Maker I received has a ripped retail seal and looks like it was already used by someone else, but I paid for brand new!",Customer reaching out to @AmazonHelp regarding damaged or incorrect item.,"We apologize for this experience. We take new item guarantees seriously. Please go to Your Orders to request an exchange for an unopened replacement, or DM us if you need assistance: https://amzn.to/your-orders ^KL",damaged_or_incorrect_item,AUTO_HANDLE,Used-sold-as-new complaint; customer guided to instant exchange flow.
conv_amzn_00010,AmazonHelp,conv_amzn_00010,@AmazonHelp Received a text message claiming to be Amazon asking me to click a link to verify my credit card. Is this real or a scam?,Customer reaching out to @AmazonHelp regarding account access and security.,"Amazon will never text you asking for sensitive payment details or passwords. That is likely a phishing scam. Please do not click any links, and report it to: https://amzn.to/report-phishing ^TB",account_access_and_security,AUTO_HANDLE,Phishing awareness and reporting guidance.
conv_amzn_00011,AmazonHelp,conv_amzn_00011,@AmazonHelp Can I combine my Amazon gift card balance with an Amazon promotional credit on the same purchase?,Customer reaching out to @AmazonHelp regarding general product or policy inquiry.,"Yes! Gift card balances and promotional credits can be combined at checkout. The promotional credit is usually applied first to qualifying items, followed by gift card funds ^TB",general_product_or_policy_inquiry,AUTO_HANDLE,Payment method policy question; clear factual answer.
